status	method	path_or_expression	source	line
planned	POST	/_nodes/reload_secure_settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
planned	POST	/_nodes/{nodeId}/reload_secure_settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
planned	GET	/_remote/info	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteClusterInfoAction.java	56
planned	GET	/_remotestore/metadata/{index}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreMetadataAction.java	34
planned	GET	/_remotestore/metadata/{index}/{shard_id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreMetadataAction.java	34
planned	GET	/_remotestore/stats/{index}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreStatsAction.java	35
planned	GET	/_remotestore/stats/{index}/{shard_id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreStatsAction.java	35
planned	POST	/_remotestore/_restore	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRestoreRemoteStoreAction.java	32
planned	POST	/_snapshot/{repository}/{snapshot}/_restore	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRestoreSnapshotAction.java	60
planned	GET	/_snapshot/{repository}/{snapshot}/{index}/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	64
planned	GET	/_snapshot/{repository}/{snapshot}/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	65
planned	GET	/_snapshot/{repository}/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	66
planned	GET	/_snapshot/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestSnapshotsStatusAction.java	67
